 ;ID de cuidad-1-1-1-0|Nombre de Cuidad-3-25-0-1|Edad-1-1-0-0|Departamentos de policia-1-1-0-0|Estado-3-1-0-0|;0;1; ;                                                                                                                                                                                                                                                                                                                                                                                              
4115;Nombre de Cuidad4115;85;7466;Estado4115;| | |                                                                                                                                                                                                             
4116;Nombre de Cuidad4116;55;5587;Estado4116;| | |                                                                                                                                                                                                             
4117;Nombre de Cuidad4117;91;3086;Estado4117;| | |                                                                                                                                                                                                             
4118;Nombre de Cuidad4118;46;5447;Estado4118;| | |                                                                                                                                                                                                             
4119;Nombre de Cuidad4119;58;1003;Estado4119;| | |                                                                                                                                                                                                             
4120;Nombre de Cuidad4120;69;7297;Estado4120;| | |                                                                                                                                                                                                             
4121;Nombre de Cuidad4121;86;2673;Estado4121;| | |                                                                                                                                                                                                             
4122;Nombre de Cuidad4122;48;7251;Estado4122;| | |                                                                                                                                                                                                             
4123;Nombre de Cuidad4123;13;2060;Estado4123;| | |                                                                                                                                                                                                             
4124;Nombre de Cuidad4124;57;2965;Estado4124;| | |                                                                                                                                                                                                             
4125;Nombre de Cuidad4125;33;4355;Estado4125;| | |                                                                                                                                                                                                             
4126;Nombre de Cuidad4126;99;3472;Estado4126;| | |                                                                                                                                                                                                             
4127;Nombre de Cuidad4127;59;7532;Estado4127;| | |                                                                                                                                                                                                             
4128;Nombre de Cuidad4128;89;1890;Estado4128;| | |                                                                                                                                                                                                             
4129;Nombre de Cuidad4129;15;8525;Estado4129;| | |                                                                                                                                                                                                             
4130;Nombre de Cuidad4130;50;1181;Estado4130;| | |                                                                                                                                                                                                             
4131;Nombre de Cuidad4131;60;3361;Estado4131;| | |                                                                                                                                                                                                             
4132;Nombre de Cuidad4132;40;3763;Estado4132;| | |                                                                                                                                                                                                             
4133;Nombre de Cuidad4133;75;7126;Estado4133;| | |                                                                                                                                                                                                             
4134;Nombre de Cuidad4134;90;8803;Estado4134;| | |                                                                                                                                                                                                             
4135;Nombre de Cuidad4135;73;5319;Estado4135;| | |                                                                                                                                                                                                             
4136;Nombre de Cuidad4136;41;1057;Estado4136;| | |                                                                                                                                                                                                             
4137;Nombre de Cuidad4137;97;8691;Estado4137;| | |                                                                                                                                                                                                             
4138;Nombre de Cuidad4138;51;9077;Estado4138;| | |                                                                                                                                                                                                             
4139;Nombre de Cuidad4139;13;8985;Estado4139;| | |                                                                                                                                                                                                             
4140;Nombre de Cuidad4140;57;6258;Estado4140;| | |                                                                                                                                                                                                             
4141;Nombre de Cuidad4141;29;7925;Estado4141;| | |                                                                                                                                                                                                             
4142;Nombre de Cuidad4142;78;9193;Estado4142;| | |                                                                                                                                                                                                             
4143;Nombre de Cuidad4143;51;7020;Estado4143;| | |                                                                                                                                                                                                             
4144;Nombre de Cuidad4144;81;3209;Estado4144;| | |                                                                                                                                                                                                             
4145;Nombre de Cuidad4145;69;2672;Estado4145;| | |                                                                                                                                                                                                             
4146;Nombre de Cuidad4146;91;2005;Estado4146;| | |                                                                                                                                                                                                             
4147;Nombre de Cuidad4147;25;4224;Estado4147;| | |                                                                                                                                                                                                             
4148;Nombre de Cuidad4148;12;4571;Estado4148;| | |                                                                                                                                                                                                             
4149;Nombre de Cuidad4149;21;2976;Estado4149;| | |                                                                                                                                                                                                             
4150;Nombre de Cuidad4150;74;8901;Estado4150;| | |                                                                                                                                                                                                             
4151;Nombre de Cuidad4151;81;2512;Estado4151;| | |                                                                                                                                                                                                             
4152;Nombre de Cuidad4152;62;6837;Estado4152;| | |                                                                                                                                                                                                             
4153;Nombre de Cuidad4153;11;7883;Estado4153;| | |                                                                                                                                                                                                             
4154;Nombre de Cuidad4154;20;5281;Estado4154;| | |                                                                                                                                                                                                             
4155;Nombre de Cuidad4155;89;2566;Estado4155;| | |                                                                                                                                                                                                             
4156;Nombre de Cuidad4156;84;4945;Estado4156;| | |                                                                                                                                                                                                             
4157;Nombre de Cuidad4157;81;5075;Estado4157;| | |                                                                                                                                                                                                             
4158;Nombre de Cuidad4158;77;9705;Estado4158;| | |                                                                                                                                                                                                             
4159;Nombre de Cuidad4159;58;5690;Estado4159;| | |                                                                                                                                                                                                             
4160;Nombre de Cuidad4160;77;2455;Estado4160;| | |                                                                                                                                                                                                             
4161;Nombre de Cuidad4161;96;7339;Estado4161;| | |                                                                                                                                                                                                             
4162;Nombre de Cuidad4162;82;8219;Estado4162;| | |                                                                                                                                                                                                             
4163;Nombre de Cuidad4163;37;7754;Estado4163;| | |                                                                                                                                                                                                             
4164;Nombre de Cuidad4164;72;1462;Estado4164;| | |                                                                                                                                                                                                             
4165;Nombre de Cuidad4165;19;4311;Estado4165;| | |                                                                                                                                                                                                             
4166;Nombre de Cuidad4166;92;5712;Estado4166;| | |                                                                                                                                                                                                             
4167;Nombre de Cuidad4167;23;4353;Estado4167;| | |                                                                                                                                                                                                             
4168;Nombre de Cuidad4168;51;5530;Estado4168;| | |                                                                                                                                                                                                             
4169;Nombre de Cuidad4169;74;1358;Estado4169;| | |                                                                                                                                                                                                             
4170;Nombre de Cuidad4170;40;7820;Estado4170;| | |                                                                                                                                                                                                             
4171;Nombre de Cuidad4171;88;1257;Estado4171;| | |                                                                                                                                                                                                             
4172;Nombre de Cuidad4172;18;8549;Estado4172;| | |                                                                                                                                                                                                             
4173;Nombre de Cuidad4173;32;7641;Estado4173;| | |                                                                                                                                                                                                             
4174;Nombre de Cuidad4174;38;7157;Estado4174;| | |                                                                                                                                                                                                             
4175;Nombre de Cuidad4175;50;7450;Estado4175;| | |                                                                                                                                                                                                             
4176;Nombre de Cuidad4176;66;7880;Estado4176;| | |                                                                                                                                                                                                             
4177;Nombre de Cuidad4177;88;3323;Estado4177;| | |                                                                                                                                                                                                             
4178;Nombre de Cuidad4178;51;1881;Estado4178;| | |                                                                                                                                                                                                             
4179;Nombre de Cuidad4179;12;2107;Estado4179;| | |                                                                                                                                                                                                             
4180;Nombre de Cuidad4180;100;6992;Estado4180;| | |                                                                                                                                                                                                            
4181;Nombre de Cuidad4181;49;4624;Estado4181;| | |                                                                                                                                                                                                             
4182;Nombre de Cuidad4182;13;4930;Estado4182;| | |                                                                                                                                                                                                             
4183;Nombre de Cuidad4183;81;8333;Estado4183;| | |                                                                                                                                                                                                             
4184;Nombre de Cuidad4184;25;3259;Estado4184;| | |                                                                                                                                                                                                             
4185;Nombre de Cuidad4185;95;6104;Estado4185;| | |                                                                                                                                                                                                             
4186;Nombre de Cuidad4186;83;3507;Estado4186;| | |                                                                                                                                                                                                             
4187;Nombre de Cuidad4187;45;1173;Estado4187;| | |                                                                                                                                                                                                             
4188;Nombre de Cuidad4188;24;2458;Estado4188;| | |                                                                                                                                                                                                             
4189;Nombre de Cuidad4189;12;1226;Estado4189;| | |                                                                                                                                                                                                             
4190;Nombre de Cuidad4190;92;8025;Estado4190;| | |                                                                                                                                                                                                             
4191;Nombre de Cuidad4191;72;4777;Estado4191;| | |                                                                                                                                                                                                             
4192;Nombre de Cuidad4192;41;1695;Estado4192;| | |                                                                                                                                                                                                             
4193;Nombre de Cuidad4193;66;8531;Estado4193;| | |                                                                                                                                                                                                             
4194;Nombre de Cuidad4194;24;1612;Estado4194;| | |                                                                                                                                                                                                             
4195;Nombre de Cuidad4195;20;9559;Estado4195;| | |                                                                                                                                                                                                             
4196;Nombre de Cuidad4196;68;3462;Estado4196;| | |                                                                                                                                                                                                             
4197;Nombre de Cuidad4197;63;2863;Estado4197;| | |                                                                                                                                                                                                             
4198;Nombre de Cuidad4198;27;3709;Estado4198;| | |                                                                                                                                                                                                             
4199;Nombre de Cuidad4199;54;5611;Estado4199;| | |                                                                                                                                                                                                             
4200;Nombre de Cuidad4200;37;4037;Estado4200;| | |                                                                                                                                                                                                             
4201;Nombre de Cuidad4201;91;5716;Estado4201;| | |                                                                                                                                                                                                             
4202;Nombre de Cuidad4202;17;8200;Estado4202;| | |                                                                                                                                                                                                             
4203;Nombre de Cuidad4203;33;2015;Estado4203;| | |                                                                                                                                                                                                             
4204;Nombre de Cuidad4204;97;8205;Estado4204;| | |                                                                                                                                                                                                             
4205;Nombre de Cuidad4205;45;1779;Estado4205;| | |                                                                                                                                                                                                             
4206;Nombre de Cuidad4206;18;7017;Estado4206;| | |                                                                                                                                                                                                             
4207;Nombre de Cuidad4207;16;6969;Estado4207;| | |                                                                                                                                                                                                             
4208;Nombre de Cuidad4208;58;1120;Estado4208;| | |                                                                                                                                                                                                             
4209;Nombre de Cuidad4209;74;8760;Estado4209;| | |                                                                                                                                                                                                             
4210;Nombre de Cuidad4210;98;8992;Estado4210;| | |                                                                                                                                                                                                             
4211;Nombre de Cuidad4211;67;8794;Estado4211;| | |                                                                                                                                                                                                             
4212;Nombre de Cuidad4212;10;8931;Estado4212;| | |                                                                                                                                                                                                             
4213;Nombre de Cuidad4213;95;4519;Estado4213;| | |                                                                                                                                                                                                             
4214;Nombre de Cuidad4214;13;5423;Estado4214;| | |                                                                                                                                                                                                             
4215;Nombre de Cuidad4215;31;2444;Estado4215;| | |                                                                                                                                                                                                             
4216;Nombre de Cuidad4216;30;9243;Estado4216;| | |                                                                                                                                                                                                             
4217;Nombre de Cuidad4217;28;1911;Estado4217;| | |                                                                                                                                                                                                             
4218;Nombre de Cuidad4218;16;1640;Estado4218;| | |                                                                                                                                                                                                             
4219;Nombre de Cuidad4219;18;6649;Estado4219;| | |                                                                                                                                                                                                             
4220;Nombre de Cuidad4220;68;8441;Estado4220;| | |                                                                                                                                                                                                             
4221;Nombre de Cuidad4221;67;6880;Estado4221;| | |                                                                                                                                                                                                             
4222;Nombre de Cuidad4222;46;5545;Estado4222;| | |                                                                                                                                                                                                             
4223;Nombre de Cuidad4223;31;9112;Estado4223;| | |                                                                                                                                                                                                             
4224;Nombre de Cuidad4224;33;5168;Estado4224;| | |                                                                                                                                                                                                             
4225;Nombre de Cuidad4225;53;3278;Estado4225;| | |                                                                                                                                                                                                             
4226;Nombre de Cuidad4226;12;7937;Estado4226;| | |                                                                                                                                                                                                             
4227;Nombre de Cuidad4227;81;3177;Estado4227;| | |                                                                                                                                                                                                             
4228;Nombre de Cuidad4228;34;6083;Estado4228;| | |                                                                                                                                                                                                             
4229;Nombre de Cuidad4229;25;9805;Estado4229;| | |                                                                                                                                                                                                             
4230;Nombre de Cuidad4230;83;1482;Estado4230;| | |                                                                                                                                                                                                             
4231;Nombre de Cuidad4231;58;9069;Estado4231;| | |                                                                                                                                                                                                             
4232;Nombre de Cuidad4232;47;5825;Estado4232;| | |                                                                                                                                                                                                             
4233;Nombre de Cuidad4233;57;6404;Estado4233;| | |                                                                                                                                                                                                             
4234;Nombre de Cuidad4234;45;9759;Estado4234;| | |                                                                                                                                                                                                             
4235;Nombre de Cuidad4235;65;2297;Estado4235;| | |                                                                                                                                                                                                             
4236;Nombre de Cuidad4236;36;7139;Estado4236;| | |                                                                                                                                                                                                             
4237;Nombre de Cuidad4237;86;9028;Estado4237;| | |                                                                                                                                                                                                             
4238;Nombre de Cuidad4238;56;2828;Estado4238;| | |                                                                                                                                                                                                             
4239;Nombre de Cuidad4239;61;6025;Estado4239;| | |                                                                                                                                                                                                             
4240;Nombre de Cuidad4240;52;8762;Estado4240;| | |                                                                                                                                                                                                             
4241;Nombre de Cuidad4241;14;5872;Estado4241;| | |                                                                                                                                                                                                             
4242;Nombre de Cuidad4242;42;4859;Estado4242;| | |                                                                                                                                                                                                             
4243;Nombre de Cuidad4243;79;4183;Estado4243;| | |                                                                                                                                                                                                             
4244;Nombre de Cuidad4244;56;4987;Estado4244;| | |                                                                                                                                                                                                             
4245;Nombre de Cuidad4245;70;2685;Estado4245;| | |                                                                                                                                                                                                             
4246;Nombre de Cuidad4246;32;3891;Estado4246;| | |                                                                                                                                                                                                             
4247;Nombre de Cuidad4247;37;7659;Estado4247;| | |                                                                                                                                                                                                             
4248;Nombre de Cuidad4248;84;6732;Estado4248;| | |                                                                                                                                                                                                             
4249;Nombre de Cuidad4249;93;9169;Estado4249;| | |                                                                                                                                                                                                             
4250;Nombre de Cuidad4250;19;5688;Estado4250;| | |                                                                                                                                                                                                             
4251;Nombre de Cuidad4251;85;4305;Estado4251;| | |                                                                                                                                                                                                             
4252;Nombre de Cuidad4252;46;2670;Estado4252;| | |                                                                                                                                                                                                             
4253;Nombre de Cuidad4253;19;7404;Estado4253;| | |                                                                                                                                                                                                             
4254;Nombre de Cuidad4254;44;4640;Estado4254;| | |                                                                                                                                                                                                             
4255;Nombre de Cuidad4255;24;2512;Estado4255;| | |                                                                                                                                                                                                             
4256;Nombre de Cuidad4256;80;8482;Estado4256;| | |                                                                                                                                                                                                             
4257;Nombre de Cuidad4257;19;7707;Estado4257;| | |                                                                                                                                                                                                             
4258;Nombre de Cuidad4258;96;4282;Estado4258;| | |                                                                                                                                                                                                             
4259;Nombre de Cuidad4259;98;3039;Estado4259;| | |                                                                                                                                                                                                             
4260;Nombre de Cuidad4260;40;4182;Estado4260;| | |                                                                                                                                                                                                             
4261;Nombre de Cuidad4261;65;9586;Estado4261;| | |                                                                                                                                                                                                             
4262;Nombre de Cuidad4262;65;9390;Estado4262;| | |                                                                                                                                                                                                             
4263;Nombre de Cuidad4263;84;1544;Estado4263;| | |                                                                                                                                                                                                             
4264;Nombre de Cuidad4264;92;5951;Estado4264;| | |                                                                                                                                                                                                             
4265;Nombre de Cuidad4265;96;8815;Estado4265;| | |                                                                                                                                                                                                             
4266;Nombre de Cuidad4266;99;5361;Estado4266;| | |                                                                                                                                                                                                             
4267;Nombre de Cuidad4267;96;4767;Estado4267;| | |                                                                                                                                                                                                             
4268;Nombre de Cuidad4268;96;2406;Estado4268;| | |                                                                                                                                                                                                             
4269;Nombre de Cuidad4269;51;5404;Estado4269;| | |                                                                                                                                                                                                             
4270;Nombre de Cuidad4270;14;3608;Estado4270;| | |                                                                                                                                                                                                             
4271;Nombre de Cuidad4271;17;5065;Estado4271;| | |                                                                                                                                                                                                             
4272;Nombre de Cuidad4272;90;9461;Estado4272;| | |                                                                                                                                                                                                             
4273;Nombre de Cuidad4273;41;5755;Estado4273;| | |                                                                                                                                                                                                             
4274;Nombre de Cuidad4274;86;6705;Estado4274;| | |                                                                                                                                                                                                             
4275;Nombre de Cuidad4275;98;1007;Estado4275;| | |                                                                                                                                                                                                             
4276;Nombre de Cuidad4276;45;6777;Estado4276;| | |                                                                                                                                                                                                             
4277;Nombre de Cuidad4277;42;3857;Estado4277;| | |                                                                                                                                                                                                             
4278;Nombre de Cuidad4278;30;1623;Estado4278;| | |                                                                                                                                                                                                             
4279;Nombre de Cuidad4279;69;3810;Estado4279;| | |                                                                                                                                                                                                             
4280;Nombre de Cuidad4280;55;2191;Estado4280;| | |                                                                                                                                                                                                             
4281;Nombre de Cuidad4281;10;1357;Estado4281;| | |                                                                                                                                                                                                             
4282;Nombre de Cuidad4282;29;4581;Estado4282;| | |                                                                                                                                                                                                             
4283;Nombre de Cuidad4283;21;8614;Estado4283;| | |                                                                                                                                                                                                             
4284;Nombre de Cuidad4284;88;5776;Estado4284;| | |                                                                                                                                                                                                             
4285;Nombre de Cuidad4285;100;7167;Estado4285;| | |                                                                                                                                                                                                            
4286;Nombre de Cuidad4286;85;5751;Estado4286;| | |                                                                                                                                                                                                             
4287;Nombre de Cuidad4287;46;6697;Estado4287;| | |                                                                                                                                                                                                             
4288;Nombre de Cuidad4288;10;5903;Estado4288;| | |                                                                                                                                                                                                             
4289;Nombre de Cuidad4289;96;5219;Estado4289;| | |                                                                                                                                                                                                             
4290;Nombre de Cuidad4290;12;8630;Estado4290;| | |                                                                                                                                                                                                             
